code	country	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12
SAU	Saudi Arabia	0	5	98	289	811	976	1854	4241	8025	9160	11677	14880	18145	13223	15485	24439	30925	24271	27425	23551	18936	16557	12505	9784	10053	9055	7541	6021	5118	4221	3519	3207	2947	2910	2698	2730	2947	2721	2084	1877	1615	1223	1099	1218	913	713	1061	1432	1628	2148	2449	2281	2370	2413	2585	2594	3141
SDN	Sudan	0	0	1	1	3	5	9	47	147	320	578	853	1414	1143	1345	1013	1537	841	432	515	323	775	342	250	420	522	353	218	125	23	51	52	24	18	33	71	286	536	1426	1575	1841	1918	1604	1598	1294	397	1900	343	769	343	299	195	188	163	394	116	418
SEN	Senegal	0	4	6	37	83	89	59	72	264	501	519	795	547	559	714	747	787	676	813	742	655	883	732	719	1029	818	606	492	289	451	181	199	176	148	151	73	77	86	86	162	370	664	609	853	988	1489	1738	1721	1754	2276	2152	1989	1625	1377	1094	967	763
SGP	Singapore	17	36	74	220	370	387	1110	3693	6701	4855	4912	4896	3712	3298	3161	2670	1636	1413	1418	1119	1872	2233	2624	2417	732	605	451	265	375	201	127	115	66	38	61	50	39	62	32	57	50	58	90	116	143	203	218	177	247	168	111	72	67	95	68	96	104
SHN	Saint Helena, Ascension and Tristan da Cunha	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SLB	Solomon Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	5	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SLE	Sierra Leone	0	0	0	0	0	4	4	22	52	73	136	171	159	231	94	186	177	101	123	85	83	67	55	72	59	26	39	22	55	63	49	51	41	27	18	21	15	10	14	5	10	20	57	52	97	157	167	150	408	244	49	28	38	31	19	11	14
SLV	El Salvador	0	0	0	3	16	37	62	72	84	172	338	481	554	576	539	669	872	1252	1780	1884	2117	2713	2829	2928	2641	1801	1117	669	645	577	1294	728	712	1386	1129	1241	1319	1213	1046	1182	1344	1464	1801	1697	1911	1771	2210	2165	1774	1514	1401	1265	1118	1080	985	1102	980
SMR	San Marino	1	22	57	64	80	35	97	99	58	67	57	25	12	6	9	14	2	2	0	1	0	0	0	0	0	5	6	25	6	1	4	5	9	18	60	109	115	210	142	191	203	143	175	124	197	200	150	96	122	131	151	194	244	206	204	230	247
SOM	Somalia	0	0	0	1	2	4	14	114	255	281	326	360	237	322	373	290	176	123	83	90	60	67	34	15	23	19	41	22	44	25	187	5	254	17	33	44	288	72	81	69	74	54	83	28	24	12	18	10	30	70	238	797	1102	1050	905	1022	870
SPM	Saint Pierre and Miquelon	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	8	0	0	0	0	0	0	0	0
SRB	Kosovo	0	0	2	22	64	47	115	230	223	110	49	93	70	39	94	226	614	496	684	1334	1105	1300	1637	1505	1216	1062	878	812	539	436	423	333	372	624	1003	1571	3606	4917	5737	4843	3906	3781	2564	1723	1097	1762	1871	2182	2329	2042	2117	1645	3001	4149	3470	4225	3877
SRB	Serbia	0	1	45	125	488	965	1756	2614	1785	1583	670	464	596	289	360	510	552	989	2037	2244	2425	2354	3030	1981	1608	1077	734	567	451	540	472	530	843	1261	2926	8082	13681	20451	35039	46910	50808	47594	35091	26839	18537	14221	15091	11069	11612	12455	13141	14629	22328	25947	29654	34845	34721
SSD	South Sudan	0	0	0	0	0	0	4	0	1	40	75	116	419	339	0	699	189	60	79	0	170	67	94	111	25	9	22	25	34	64	34	39	46	56	61	27	38	60	44	57	62	40	22	227	103	31	81	118	141	426	955	1107	1354	906	752	420	230
STP	Sao Tome and Principe	0	0	0	0	0	0	4	0	0	12	192	27	16	228	20	160	39	15	6	8	16	119	12	4	7	7	3	3	8	2	3	2	9	10	8	5	17	2	15	10	10	10	3	2	10	42	64	58	68	95	131	96	208	158	134	64	68
SUR	Suriname	0	0	1	3	4	2	0	0	0	0	0	0	1	3	86	96	107	164	98	176	260	380	379	546	655	608	385	366	259	130	122	93	111	88	43	37	31	40	21	17	12	16	171	427	405	605	521	531	403	247	144	62	63	52	51	39	34
SVK	Slovakia	0	1	43	134	114	179	257	361	284	34	48	38	11	17	7	17	41	71	92	144	83	165	196	229	289	461	526	684	927	1093	2054	3721	6476	9471	12533	16863	16003	11900	9690	9375	10830	15332	18481	17374	19595	18992	17516	11819	13619	13584	14460	14223	15811	15836	14131	11709	9041
SVN	Slovenia	0	7	174	202	301	293	211	129	71	51	15	11	3	5	11	8	27	53	107	148	113	126	105	76	154	216	217	288	481	706	882	1139	1922	4164	8858	13033	9963	9852	10162	9973	10518	10706	9532	9171	10159	14175	10038	8737	8594	7314	5947	5204	5275	5459	4768	5655	6531
