code	country_exposure	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12	cumulative_proportion
IDN	Indonesia	X	0	0.06521739130434782	0.03672316384180791	0.02553191489361702	0.0096051227321238	0.009714285714285713	0.004987531172069825	0.0046629927935565915	0.0026833631484794273	0.0014275517487508922	0.0017751479289940828	0.0019067796610169492	0.0007447864945382324	0.0027420375448217677	0.001592817839559803	0.0011828098304639244	0.0015418219195682899	0.0006430868167202572	0.0005894240485011788	0.0011045655375552283	0.0013705256368913253	0.0009486166007905138	0.0008107908896587307	0.0007160759040458289	0.0012116892373485388	0.00016952025767079165	0.0005123428039124359	0.0007474772642332129	0.0004240391657993138	0.00042411588150854755	0.0003550253843149785	0.0004754465801806697	0.0007289135716765013	0.0006378907080586859	0.0005807200929152149	0.0005895233282802762	0.0016111891947482087	0.0007260486452592324	0.0009512553688276499	0.0012227869953006618	0.0007155805743726744	0.0009067944815078696	0.0010840884452535335	0.0020334650244015805	0.002620466342863819	0.0016867716213453282	0.0014474465558194775	0.0009455306790936413	0.0011400671648264496	0.000816416246683309	0.0013849958779884584	0.001680497565877237	0.0017425494839372682	0.0017112822393350446	0.002168246156844593	0.0011045452035124538	0.0012553602475063707
IND	India	X	0.16129032258064516	0.16176470588235295	0.16228070175438597	0.0547945205479452	0.06778042959427208	0.015473527218493661	0.014705882352941176	0.00994224031815169	0.015951103160405485	0.010169198147907742	0.009554597701149425	0.008657265481299817	0.008074755971748273	0.0034416235820665174	0.004131897711978466	0.004769404327089546	0.0010641172893723397	0.0011156847255138387	0.0005953832283379735	0.0007360060282398503	0.00038329857659799777	0.000501249013936366	0.0005195295895716243	0.0005927560179611939	0.00013846519029073296	0.0002792325323980048	0.00026091006832691855	0.0002794495312585377	0.00033268189576070425	0.00026355224500897937	0.00033761881757988366	0.0003270999320028626	0.00017470419403509967	0.00034840382433965324	0.0004009133306814587	0.00026879062754887667	0.0002118471441375377	0.00022046247337560048	0.0006563159471312262	0.0009510431630342654	0.0010525969540475643	0.0018025879192165057	0.0018068404553493332	0.0012415971788561143	0.0010449734402583934	0.001959127584702092	0.0022786593197166175	0.0013312818498270424	0.00371622042923593	0.0028888860608065974	0.004532296940411251	0.004644080700418728	0.005645755163586633	0.0038111555558553514	0.0022200748077740107	0.0025879611483674903	0.0010283486254701849
IRL	Ireland	0	0.4117647058823529	0.0990990990990991	0.16920731707317074	0.03619631901840491	0.059844677935130194	0.03445883441258094	0.0274442538593482	0.012095713910070997	0.030592734225621414	0.026515151515151516	0.017857142857142856	0.0449438202247191	0.01729106628242075	0.003937007874015748	0.026785714285714284	0	0	0.1111111111111111	0.28431372549019607	0.007194244604316547	0.17647058823529413	0.15833333333333333	0.052336448598130844	0.10968921389396709	0.030683403068340307	0	0.03562653562653563	0.039297658862876256	0.05420353982300885	0.0034619188921859545	0.005148005148005148	0.016559565002471577	0.006318207926479035	0.007267833109017497	0.003926701570680628	0.01500441306266549	0.013478098090602771	0.011845624761176921	0.05725403001667593	0.009471585244267198	0.008296460176991151	0.026158940397350994	0.0061952251435479	0.014654873395768297	0.002237391840368941	0.009878497917598872	0.012435991221653255	0.038710384910626165	0.09675638371290546	0.1530089628681178	0.09763525618058044	0.18470230334637114	0.19118042484538855	0.20579393276851599	0.26346098473941837	0.1950803701899659	0.03916011575766125
IRN	Iran	0.019469026548672566	0.0028680688336520078	0.00333043730089777	0.0007613247049866769	0.00033788349776996894	4.917629702483403e-05	0.0003499930001399972	9.225943352707814e-05	0	0.0002808988764044944	0.0003069995906672124	8.215576733486691e-05	6.609822195782933e-05	0	0	6.43915003219575e-05	0.000170174144874922	5.6831097976812913e-05	0.00011300711944852526	0.0001160160102094089	0.00012129298320092183	5.802820170602913e-05	0	0	0	0.0003816308357715303	6.656017039403621e-05	0	0	5.234779877506151e-05	0.00020796073701285196	7.989453920824512e-05	0	0.0	0	0	4.9604814974040145e-05	2.622091117666339e-05	0	3.17490554655999e-05	0	1.3921372090433232e-05	0	0	2.352332337512644e-05	2.3275300251373243e-05	0	2.3453807725684264e-05	4.474373028479384e-05	4.198240937047377e-05	5.8249034036852225e-05	7.245326764237067e-05	0	0	0	0	0	6.713971286943763e-05
IRQ	Iraq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020329335230737954	0.0012735608762098828	0.0016549844236760124	0	0.00013252054068380598	0	0.0001331026221216558	0.0006338961562842159	0.00015681354869060687	0	3.9691990156386444e-05	0	0	0	0	3.4699330302925156e-05	0	6.675121820973233e-05	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0003197953309881676	0	0	0.0007571455612341472	0	0	0.00042217844075429216	0.0016002075944987458	0.00018187770543086828	0	9.637315686337498e-05	0	0	0.00012935875535116065
ISL	Iceland	0	0.1836734693877551	0.44339622641509435	0.8454258675078864	0.8448979591836735	0.7841409691629956	0.39338235294117646	0.4788732394366197	0	0	0	0	0	0	X	0	0	0	0	0	0	0.8	0.78	0.5	0.5	0.4406779661016949	0.5476190476190477	0.5555555555555556	0.3076923076923077	1.0	0.8095238095238095	0.959409594095941	0.9455782312925171	0.7713754646840149	0.7727272727272727	0.7664543524416136	0.7424242424242424	0.7723577235772358	0.7710843373493976	0.9117647058823529	0.8476190476190476	0.8552631578947368	1.0	1.0	0.647887323943662	0.40476190476190477	0	0	0	0	0	0	0	0	0	0	0	0.7268623024830699
ISR	Israel	0.4	0.36585365853658536	0.2857142857142857	0.0851063829787234	0.01896664486592544	0.022791353383458647	0.01073345259391771	0.013926499032882012	0.013597733711048159	0.001303780964797914	0	0	0	0	0.022606382978723406	0.0007961783439490446	0.003579952267303103	0.0017642907551164433	0.001722356183258698	0.00022768670309653916	0.00017496282040066485	0.0037862852334875894	0.00018276523805172256	9.879470460383324e-05	0.00020281918669506134	0.00020622808826562179	0	0.00019338619222587506	0	3.064946210194011e-05	0	0	0	7.817997029161128e-05	0	0	0	0	0.00019654088050314466	0	0.001009194886745907	0.0023411371237458192	0.0012280701754385965	0.006129257506400807	0.02786771827867718	0.017636022514071294	0.010608800482218204	0.010958741231025327	0.02014366021236727	0.022802068641278796	0.020130711744753605	0.01852913927736357	0.03355075983623621	0.04005001515610791	0.014718902169101373	0.0592293811697272	0.07975018015853952	0.01207947943854416
ITA	Italy	0.16322701688555347	0.04437434279705573	0.015385622626685871	0.0074951420375682426	0.003882346891551396	0.004197761194029851	0.004775860197546945	0.003804853301767143	0.003346031092350458	0.005437504471631967	0.003131991051454139	0.004158964879852125	0.0017516969564265383	0.0008990110878034162	0.008423022929340197	0.017297297297297298	0.010158013544018058	0.011284255776464266	0.06313328137178488	0.008522727272727272	0.007919366450683946	0.010315533980582525	0.002540650406504065	0.0048436811977102595	0.003598200899550225	0.006172839506172839	0.00986577951129976	0.005904059040590406	0.007932523345717441	0.009443146417445482	0.004508019072388383	0.0032088482283061377	0.0012339677672662005	0.0011688850345009615	0.0005099389053965266	0.001446367217200908	0.0005245225499865507	0.0002602638993315762	0.00035172621292572643	0.0006902136401432601	0.000446861314872232	0.0013473364195398328	0.003819852548349183	0.0031487146887043587	0.00310419554479608	0.0021000300004285774	0.0034365501005709544	0.005158932124184518	0.0009584516963440264	0.00819780351677369	0.010942476172699805	0.019158125139743694	0.01492470699551009	0.014790876440401045	0.013883515179653846	0.01789077822296156	0.007526165434724126	0.005283927096610173
JAM	Jamaica	X	X	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0.009107468123861567	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003443982303229396
JOR	Jordan	X	0	X	0.14285714285714285	0.037267080745341616	0.07792207792207792	0.06896551724137931	0	0	0	0	0	0	0	0.03278688524590164	0	0	0.020833333333333332	0.05128205128205128	0	0	0	0	0	0.010752688172043012	0.02109704641350211	0.022082018927444796	0.008695652173913044	0.02679830747531735	0.013531799729364006	0	0.030801435406698566	0.009514542112660828	0.005474906677727084	0.002789684969721712	0.0002287596650958503	0.00133561111973909	2.739500862942772e-05	0	0	0	0.0	6.442468754026543e-05	0.00029500700641640237	0.0004848719937936385	0.0043052416316865785	0	0.0001677289500167729	0.001462225832656377	0	0.0010047497259773476	0.00013326226012793177	3.747423646243208e-05	0	0.0001260901544604392	6.936496375680644e-05	1.8028737808066057e-05	0.0010734349747442218
JPN	Japan	0.2777777777777778	0.334841628959276	0.3009118541033435	0.36742424242424243	0.273542600896861	0.29771841958820255	0.27553998832457677	0.21017514595496248	0.18043972706595907	0.16835820895522388	0.1465324384787472	0.1610738255033557	0.17307692307692307	0.10457516339869281	0.15845070422535212	0.28668941979522183	0.14583333333333334	0.22495274102079396	0.19055509527754763	0.1350939563230066	0.12343572241183162	0.12579147319544112	0.13793103448275862	0.12140910044034389	0.11077960825009729	0.1101238164603059	0.12286187235607872	0.10962566844919786	0.07996790585718107	0.06944444444444445	0.076290693850707	0.06205381658429435	0.07022394249377938	0.07011866235167206	0.09289895647747519	0.05752961082910321	0.07133507853403141	0.06605333884639239	0.06505306003779619	0.05662964486493898	0.06650230325050283	0.0661992874382255	0.05204120153157526	0.047108812118972845	0.044096487515869656	0.05140255905511811	0.041606444734036255	0.03947439571729844	0.04943099605021313	0.05370136508509231	0.05733021077283373	0.05989725653076839	0.0712785324184288	0.10472404831065586	0.09921640931090113	0.11898876404494382	0.1346136904237512	0.07290116760214911
KAZ	Kazakhstan	X	X	0	0	0.02857142857142857	0	0	0.009333333333333334	0.009127789046653144	0.02388535031847134	0.0017889087656529517	0.001142857142857143	0	0	0	0	0	0.0006464124111182935	0.00044689408610159393	0.0004511820970943873	0.0004784688995215311	0	0	5.109339873288371e-05	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0005519779208831647	0.0005959475566150178	0.00031560675398453525	0.0003058571647040832	0.0003242016534284325	0.0020161290322580645	0.0006479831524380366	0.000871383757406762	0.0013995801259622112	0.000473858790080556	0.00010561892691170258	0	0	0	0	0.0005258545135845749	0.0017972681524083393	0.0017205781142463868	0.0020410613519029897	0.00044474093840338	0.0006224380313076013
