code	country_exposure	2020_EW09	2020_EW10	2020_EW11	2020_EW12	2020_EW13	2020_EW14	2020_EW15	2020_EW16	2020_EW17	2020_EW18	2020_EW19	2020_EW20	2020_EW21	2020_EW22	2020_EW23	2020_EW24	2020_EW25	2020_EW26	2020_EW27	2020_EW28	2020_EW29	2020_EW30	2020_EW31	2020_EW32	2020_EW33	2020_EW34	2020_EW35	2020_EW36	2020_EW37	2020_EW38	2020_EW39	2020_EW40	2020_EW41	2020_EW42	2020_EW43	2020_EW44	2020_EW45	2020_EW46	2020_EW47	2020_EW48	2020_EW49	2020_EW50	2020_EW51	2020_EW52	2020_EW53	2021_EW01	2021_EW02	2021_EW03	2021_EW04	2021_EW05	2021_EW06	2021_EW07	2021_EW08	2021_EW09	2021_EW10	2021_EW11	2021_EW12
TLS	Timor-Leste	0	0	0	0	0	1	4	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTO	Trinidad and Tobago	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	6	4	1	4	1	0	0	0	0	0	4	0	0	1	1	8	2	1	0	0	0	1	0	0	0	0	3	1	1	0	5	8
TUN	Tunisia	0	1	0	5	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	14	3	1	0	5	3	3	9	6	0	5	1	0	1	2	1	9	2	1	5	3	4	1	0	4	3	0	0
TUR	Turkey	0	0	0	24	26	3	5	27	26	42	55	29	46	16	16	5	17	21	0	0	1	0	8	6	2	0	10	2	9	9	4	1	2	1	8	3	2	4	33	1	3	0	0	60	26	11	48	183	329	6	796	306	800	332	580	60	117
TWN	Taiwan	5	1	8	41	21	10	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	2	2	0	1	1	0	0	2	4	2	0	2	6	1	0	0	0	1	0	0	0
TZA	Tanzania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	8	1	0	1	0	0	0
UGA	Uganda	0	0	0	1	12	9	0	0	1	9	18	1	0	0	0	0	0	0	4	0	2	7	2	4	25	9	19	33	5	10	0	8	0	0	2	12	7	34	2	0	1	31	2	18	48	0	7	17	3	0	2	6	4	5	5	5	13
UKR	Ukraine	0	0	0	0	1	0	0	0	2	0	2	8	1	21	2	1	1	14	0	3	0	1	3	10	0	0	1	0	0	0	5	2	2	3	1	0	0	0	0	0	1	1	0	0	2	21	32	1	1	0	0	4	19	2	6	37	0
URY	Uruguay	0	0	1	24	11	3	9	3	9	0	3	1	13	8	3	0	7	16	5	2	9	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	12	26	9
USA	USA	85	454	1903	4811	3929	3846	2807	2418	2232	2717	2054	2178	1708	1639	1768	1949	3218	3723	3687	3732	1918	2351	1625	2625	2335	2069	1685	1560	1573	1679	1611	1320	1868	2097	2667	2625	5403	4669	5186	3324	6401	5511	5672	6896	9938	13355	13265	13372	13478	14223	16026	13140	15776	17387	19992	23503	27320
UZB	Uzbekistan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	1	5	0	0	2	0	1	1	4	1	0	15	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
